date,idx,print_1515,calc_1515,calc_1518,official_close,auction_gap,fit_rmse,n_stocks,recorded_at
2026-08-03,NIFTY,24573.35,24573.2,24573.2,24774.3,201.1,0.42,50,2026-08-06T13:18:45+05:30
2026-08-03,SENSEX,78677.13,78676.6,78676.6,78639.03,-37.57,1.39,30,2026-08-06T13:18:40+05:30
2026-08-04,NIFTY,24463.45,24463.19,24463.19,24614.9,151.71,0.29,50,2026-08-06T13:18:53+05:30
2026-08-04,SENSEX,78324.56,78325.18,78325.18,78428.95,103.77,1.33,30,2026-08-06T13:18:49+05:30
2026-08-05,NIFTY,24570.2,24570.52,24570.52,24624.65,54.13,0.13,50,2026-08-06T13:18:57+05:30
2026-08-05,SENSEX,78501.85,78501.19,78501.19,78581.0,79.81,2.69,30,2026-08-06T13:18:54+05:30
2026-08-06,NIFTY,24627.95,24627.67,24627.67,24636.0,8.33,0.32,50,2026-08-07T16:20:11+05:30
2026-08-06,SENSEX,78785.62,78787.13,78787.13,78954.76,167.63,2.55,30,2026-08-07T16:20:08+05:30
2026-08-07,NIFTY,24557.0,24555.23,24555.23,24570.65,15.42,0.64,50,2026-08-10T16:20:13+05:30
2026-08-07,SENSEX,78491.26,78490.0,78490.0,78499.17,9.17,1.6,30,2026-08-10T16:20:09+05:30
2026-08-10,NIFTY,24560.15,24560.98,24560.98,24583.8,22.82,0.46,50,2026-08-11T16:26:53+05:30
2026-08-10,SENSEX,78478.66,78479.15,78479.15,78542.44,63.29,1.71,30,2026-08-11T16:26:51+05:30
2026-08-11,NIFTY,24450.25,24450.0,24450.0,24471.7,21.7,0.23,50,2026-08-11T16:26:58+05:30
2026-08-11,SENSEX,78148.22,78149.05,78149.05,78154.25,5.2,1.52,30,2026-08-11T16:26:55+05:30
