date,idx,open,high,low,close,prev_close,chg_pct,spot_1515,mv_1515_close,close_vs_high,mv_last60,vix_close,last_print,recorded_at
2026-08-03,NIFTY,24572.7,24774.3,24515.15,24774.3,24383.6,1.602,24573.35,200.95,0.0,184.85,11.86,15:29:00,2026-08-05T16:17:10+05:30
2026-08-03,SENSEX,78883.34,78895.1,78497.34,78639.03,78094.64,0.697,78677.13,-38.1,-256.07,-100.54,11.86,15:29:00,2026-08-05T16:17:10+05:30
2026-08-04,NIFTY,24703.9,24703.9,24427.95,24614.9,24774.3,-0.643,24463.45,151.45,-89.0,144.8,12.1,15:29:00,2026-08-06T01:54:26+05:30
2026-08-04,SENSEX,79132.97,79143.15,78211.87,78428.95,78639.03,-0.267,78324.56,104.39,-714.2,90.93,12.1,15:29:00,2026-08-06T01:54:26+05:30
2026-08-05,NIFTY,24669.2,24677.6,24497.95,24624.65,24614.9,0.04,24570.2,54.45,-52.95,117.5,11.92,15:29:00,2026-08-05T16:20:03+05:30
2026-08-05,SENSEX,79055.38,79055.38,78285.74,78581.0,78428.95,0.194,78501.85,79.15,-474.38,269.9,11.92,15:29:00,2026-08-05T16:20:03+05:30
2026-08-06,NIFTY,24641.0,24677.05,24604.15,24636.0,24624.65,0.046,24627.95,8.05,-41.05,-19.45,12.14,15:29:00,2026-08-06T16:20:04+05:30
2026-08-06,SENSEX,78782.43,78954.76,78633.73,78954.76,78581.0,0.476,78785.62,169.14,0.0,82.35,12.14,15:29:00,2026-08-06T16:20:04+05:30
2026-08-07,NIFTY,24538.9,24630.4,24522.75,24570.65,24636.0,-0.265,24557.0,13.65,-59.75,34.85,12.14,15:29:00,2026-08-07T16:20:04+05:30
2026-08-07,SENSEX,78516.08,78757.4,78377.07,78499.17,78954.76,-0.577,78491.26,7.91,-258.23,72.64,12.14,15:29:00,2026-08-07T16:20:05+05:30
2026-08-10,NIFTY,24581.25,24620.95,24511.1,24583.8,24570.65,0.054,24560.15,23.65,-37.15,-2.95,12.21,15:29:00,2026-08-10T16:20:05+05:30
2026-08-10,SENSEX,78501.59,78676.98,78298.92,78542.44,78499.17,0.055,78478.66,63.78,-134.54,4.08,12.21,15:29:00,2026-08-10T16:20:06+05:30
2026-08-11,NIFTY,24575.1,24576.85,24429.25,24471.7,24583.8,-0.456,24450.25,21.45,-105.15,21.55,11.85,15:29:00,2026-08-11T15:54:48+05:30
2026-08-11,SENSEX,78509.77,78509.77,78048.26,78154.25,78542.44,-0.494,78148.22,6.03,-355.52,17.75,11.85,15:29:00,2026-08-11T16:26:48+05:30
2026-08-12,NIFTY,24472.45,24473.3,24265.95,24435.95,24471.7,-0.146,24361.7,74.25,-37.35,136.3,11.7,15:29:00,2026-08-12T16:20:05+05:30
2026-08-12,SENSEX,78263.33,78263.33,77497.93,77966.35,78154.25,-0.24,77889.97,76.38,-296.98,334.59,11.7,15:29:00,2026-08-12T16:20:05+05:30
2026-08-13,NIFTY,24431.6,24431.6,24311.4,24395.85,24435.95,-0.164,24353.35,42.5,-35.75,22.35,11.38,15:29:00,2026-08-13T16:28:59+05:30
2026-08-13,SENSEX,78111.91,78119.39,77665.89,78079.96,77966.35,0.146,77861.48,218.48,-39.43,199.01,11.38,15:29:00,2026-08-13T17:23:18+05:30
2026-08-14,NIFTY,24361.9,24405.2,24296.8,24366.0,24395.85,-0.122,24354.85,11.15,-39.2,-6.6,11.27,15:29:00,2026-08-14T16:20:02+05:30
2026-08-14,SENSEX,77903.43,78048.91,77684.37,78009.25,78079.96,-0.091,77931.1,78.15,-39.66,66.1,11.27,15:29:00,2026-08-14T16:20:02+05:30
2026-08-17,NIFTY,24343.45,24360.1,24226.95,24287.65,24366.0,-0.322,24339.8,-52.15,-72.45,-39.7,11.29,15:29:00,2026-08-17T16:20:06+05:30
2026-08-17,SENSEX,77892.92,77928.68,77453.75,77728.16,78009.25,-0.36,77844.43,-116.27,-200.52,-64.5,11.29,15:29:00,2026-08-17T16:20:07+05:30
