cycle,entry,sym,strike,lot,eprem,xprem,reason,xdate,pnl,cum
2026-02-24,2026-01-28,BHEL,260,2625,11.2,14.1,TP +2%,2026-02-03,4055,4055
2026-02-24,2026-01-28,POLYCAB,7000,125,182.9,569.3,TP +2%,2026-02-03,47353,51408
2026-02-24,2026-01-28,TATACONSUM,1140,550,30.1,33.8,TP +2%,2026-02-05,1361,52769
2026-02-24,2026-01-28,M&M,3450,200,125.2,184.3,TP +2%,2026-02-04,11191,63960
2026-02-24,2026-01-28,CHOLAFIN,1640,625,65.2,78.7,TP +2%,2026-02-03,7538,71498
2026-03-30,2026-02-25,MUTHOOTFIN,3550,275,110.2,38.9,SL -5%,2026-03-05,-20018,51480
2026-03-30,2026-02-25,HINDALCO,940,700,31.9,48.3,TP +2%,2026-03-12,10424,61904
2026-03-30,2026-02-25,AUBANK,980,1000,34.5,11.4,SL -5%,2026-03-09,-23899,38005
2026-03-30,2026-02-25,MARUTI,15200,50,309.4,65.8,SL -5%,2026-03-04,-12365,25640
2026-03-30,2026-02-25,GRASIM,2900,250,58.2,8.9,SL -5%,2026-03-04,-12510,13130
2026-04-28,2026-04-01,— REGIME OFF (NIFTY<200DMA) —,,,,,stand aside,,0,13130
2026-05-26,2026-04-29,— REGIME OFF (NIFTY<200DMA) —,,,,,stand aside,,0,13130
2026-06-30,2026-05-27,— REGIME OFF (NIFTY<200DMA) —,,,,,stand aside,,0,13130
2026-07-28,2026-07-01,— REGIME OFF (NIFTY<200DMA) —,,,,,stand aside,,0,13130
