entry,sym,prem0,exit_prem,K,ret
2019-02-01,ICICIBANK,8.15,0.0,365.0,-1.06
2019-02-01,FEDERALBNK,3.05,0.75,87.5,-0.8288524590163934
2019-02-01,MUTHOOTFIN,16.75,27.75,500.0,0.5615504566718645
2019-02-01,BAJAJFINSV,152.9,173.65,6250.0,0.11435251798561151
2019-02-01,PFC,3.8,4.5,105.0,0.053157894736842154
2019-03-01,APOLLOHOSP,38.2,49.35,1180.0,0.2558866259148597
2019-03-01,DRREDDY,73.05,60.05,2700.0,-0.19618069815195072
2019-03-01,AUROPHARMA,18.45,27.0,740.0,0.38330358913345236
2019-03-01,SIEMENS,23.85,31.9,1040.0,0.2787205147475705
2019-03-01,INDIGO,40.0,72.75,1140.0,0.77646875
2019-03-29,DIVISLAB,36.65,4.4,1750.0,-0.8982819302088819
2019-03-29,NESTLEIND,256.35,0.0,11250.0,-1.01
2019-03-29,HCLTECH,22.9,31.5,1120.0,0.3133044755058066
2019-03-29,TCS,54.3,79.3,2050.0,0.43321835922794383
2019-03-29,DRREDDY,58.9,19.15,2850.0,-0.688371415970783
2019-04-26,BPCL,12.4,16.75,380.0,0.23705775234131113
2019-04-26,UNIONBANK,4.1,2.35,90.0,-0.5212195121951219
2019-04-26,RECLTD,5.05,2.55,150.0,-0.5853465346534653
2019-04-26,PNB,4.2,3.2,90.0,-0.3438095238095238
2019-04-26,IOC,4.75,6.9,157.5,0.3054736842105264
2019-05-31,PNB,3.25,3.65,82.5,-0.004307692307692328
2019-05-31,DIVISLAB,44.8,0.0,1620.0,-1.0133928571428572
2019-05-31,RELIANCE,23.95,35.0,1360.0,0.3997149594013276
2019-05-31,DRREDDY,71.25,1.6,2700.0,-0.9877684210526316
2019-05-31,TECHM,12.35,0.2,780.0,-1.0331754331328165
2019-06-28,DLF,7.55,8.9,190.0,0.04807947019867558
2019-06-28,BANKBARODA,4.35,5.45,125.0,0.11770114942528749
2019-06-28,ACC,29.55,34.8,1600.0,0.13344842691128336
2019-06-28,INDIGO,38.55,70.05,1600.0,0.7732743871973838
2019-07-26,RECLTD,4.3,2.0,145.0,-0.6227906976744186
2019-07-26,BAJAJFINSV,174.2,250.7,7400.0,0.41475889781859937
2019-07-26,BAJFINANCE,91.95,108.35,3350.0,0.156574225122349
2019-07-26,TITAN,33.45,12.15,1120.0,-0.661223833175813
2019-07-26,PFC,3.65,2.2,115.0,-0.4934246575342465
2019-09-27,RELIANCE,36.5,52.85,1340.0,0.40770501032088574
2019-09-27,BHARTIARTL,10.9,19.55,360.0,0.6398030468815756
2019-09-27,POWERGRID,6.25,4.45,202.5,-0.39071999999999996
2019-09-27,INFY,20.25,26.6,800.0,0.24502972107910387
2019-11-01,ULTRACEMCO,101.6,20.0,4250.0,-0.8151181102362204
2019-11-01,ACC,38.6,0.0,1580.0,-1.0155440414507773
2019-11-01,ADANIPORTS,13.25,2.65,400.0,-0.8543396226415094
2019-11-01,MARICO,8.05,0.0,375.0,-1.06
2019-11-29,TITAN,26.65,35.25,1180.0,0.2704082171432193
2019-11-29,NMDC,3.4,4.65,105.0,0.22558823529411776
2019-11-29,SIEMENS,34.1,29.15,1500.0,-0.17779774855737404
2019-11-29,BRITANNIA,45.7,22.4,3150.0,-0.5294112013943089
2019-12-27,APOLLOHOSP,26.85,63.55,1460.0,1.291615950396887
2019-12-27,GODREJCP,13.35,20.85,710.0,0.4466607751546523
2019-12-27,EICHERMOT,456.55,694.45,23000.0,0.49587120797283984
2019-12-27,SUNPHARMA,9.0,12.25,440.0,0.21944444444444444
2020-01-31,NMDC,4.5,1.05,117.5,-0.8406666666666668
2020-01-31,EICHERMOT,764.85,155.85,20500.0,-0.8082722102373014
2020-01-31,SBIN,11.95,3.05,325.0,-0.8077939811978082
2020-01-31,BPCL,16.05,23.1,460.0,0.34806533321687483
2020-07-31,JUBLFOOD,65.65,103.05,1760.0,0.5439908606245238
