entry,sym,structure,prem,K,spot0,spot_exp,ret
2019-02-01,ICICIBANK,ATM,12.8,355.0,355.85,349.25,-1.0
2019-02-01,FEDERALBNK,ATM,3.05,87.5,86.45,83.65,-1.0
2019-02-01,MUTHOOTFIN,ATM,24.8,490.0,492.3,527.5,0.4763779527559056
2019-02-01,BAJAJFINSV,ATM,230.0,6100.0,6136.35,6460.7,0.5527335342229867
2019-02-01,PFC,ATM,3.8,105.0,103.85,112.1,0.7626613704071488
2019-03-01,APOLLOHOSP,ATM,47.3,1160.0,1160.1,1181.3,-0.5553235908141971
2019-03-01,DRREDDY,ATM,97.05,2650.0,2654.65,2716.35,-0.32310077993889125
2019-03-01,AUROPHARMA,ATM,27.85,720.0,727.65,769.25,0.7311072056239014
2019-03-01,SIEMENS,ATM,31.0,1020.0,1012.6,1086.2,1.094936708860761
2019-03-01,INDIGO,ATM,47.25,1120.0,1127.2,1437.2,5.629049111807734
2019-03-29,DIVISLAB,ATM,50.55,1720.0,1716.7,1715.8,-1.0
2019-03-29,NESTLEIND,ATM,420.0,11000.0,11044.75,10854.0,-1.0
2019-03-29,HCLTECH,ATM,31.35,1100.0,1094.7,1133.55,0.050078247261344334
2019-03-29,TCS,ATM,66.8,2020.0,2014.6,2192.7,1.5597320211062995
2019-03-29,DRREDDY,ATM,81.0,2800.0,2796.15,2921.85,0.4894267204498216
2019-04-26,BPCL,ATM,16.95,370.0,373.25,407.6,1.1424501424501436
2019-04-26,UNIONBANK,ATM,4.1,90.0,88.8,77.85,-1.0
2019-04-26,RECLTD,ATM,6.1,147.5,147.25,143.9,-1.0
2019-04-26,PNB,ATM,4.2,90.0,88.95,81.4,-1.0
2019-04-26,IOC,ATM,5.75,155.0,154.3,162.4,0.21410992616899177
2019-05-31,PNB,ATM,4.35,80.0,80.85,78.05,-1.0
2019-05-31,DIVISLAB,ATM,52.3,1600.0,1596.1,1600.15,-0.9971644612476354
2019-05-31,RELIANCE,ATM,41.85,1320.0,1329.8,1274.8,-1.0
2019-05-31,DRREDDY,ATM,71.25,2700.0,2681.7,2568.45,-1.0
2019-05-31,TECHM,ATM,20.8,760.0,761.05,701.25,-1.0
2019-06-28,DLF,ATM,7.55,190.0,187.75,177.0,-1.0
2019-06-28,BANKBARODA,ATM,5.4,122.5,122.4,109.2,-1.0
2019-06-28,ACC,ATM,46.05,1560.0,1565.5,1579.6,-0.5798499464094339
2019-06-28,INDIGO,ATM,56.7,1560.0,1568.85,1580.25,-0.6465968586387435
2019-07-26,RECLTD,ATM,5.65,142.5,141.3,138.8,-1.0
2019-07-26,BAJAJFINSV,ATM,217.55,7300.0,7273.25,6976.75,-1.0
2019-07-26,BAJFINANCE,ATM,115.75,3300.0,3275.05,3299.65,-1.0
2019-07-26,TITAN,ATM,43.1,1100.0,1107.1,1101.95,-0.9553775743707084
2019-07-26,PFC,ATM,4.7,112.5,112.8,101.3,-1.0
2019-09-27,RELIANCE,ATM,44.95,1320.0,1316.0,1463.6,2.152579582875959
2019-09-27,BHARTIARTL,ATM,14.8,350.0,352.3,374.65,0.6006493506493491
2019-09-27,POWERGRID,ATM,8.95,197.5,198.7,198.25,-0.920944450300411
2019-09-27,INFY,ATM,28.7,780.0,780.3,685.6,-1.0
2019-11-01,ULTRACEMCO,ATM,122.85,4200.0,4181.9,4295.25,-0.23234081649923227
2019-11-01,ACC,ATM,56.8,1540.0,1549.4,1514.75,-1.0
2019-11-01,ADANIPORTS,ATM,17.5,390.0,391.65,372.7,-1.0
2019-11-01,MARICO,ATM,10.0,370.0,369.0,360.05,-1.0
2019-11-29,TITAN,ATM,36.1,1160.0,1164.9,1191.8,-0.1335149863760231
2019-11-29,NMDC,ATM,4.3,102.5,102.75,126.3,4.221588415971917
2019-11-29,SIEMENS,ATM,42.85,1480.0,1472.95,1524.85,0.03222094361334669
2019-11-29,BRITANNIA,ATM,91.0,3050.0,3067.5,3061.5,-0.8748775976498748
2019-12-27,APOLLOHOSP,ATM,43.5,1420.0,1422.35,1695.2,5.2403628117913845
2019-12-27,GODREJCP,ATM,22.7,690.0,693.65,684.85,-1.0
2019-12-27,EICHERMOT,ATM,654.6,22500.0,22379.3,20358.8,-1.0
2019-12-27,SUNPHARMA,ATM,13.25,430.0,427.95,441.6,-0.16245487364620773
