entry,sym,structure,prem,K,spot0,spot_exp,ret
2019-02-01,ICICIBANK,CALLSPREAD,8.0,355.0,355.85,349.25,-1.0
2019-02-01,FEDERALBNK,CALLSPREAD,0.9499999999999997,87.5,86.45,83.65,-1.0
2019-02-01,MUTHOOTFIN,CALLSPREAD,15.05,490.0,492.3,527.5,0.9462683443639313
2019-02-01,BAJAJFINSV,CALLSPREAD,122.05,6100.0,6136.35,6460.7,1.4336722898016963
2019-02-01,PFC,CALLSPREAD,1.75,105.0,103.85,112.1,1.6954177897574125
2019-03-01,APOLLOHOSP,CALLSPREAD,23.199999999999996,1160.0,1160.1,1181.3,-0.09339680368584147
2019-03-01,DRREDDY,CALLSPREAD,60.599999999999994,2650.0,2654.65,2716.35,0.08404404796915194
2019-03-01,AUROPHARMA,CALLSPREAD,16.400000000000002,720.0,727.65,769.25,1.3875862660208322
2019-03-01,SIEMENS,CALLSPREAD,14.649999999999999,1020.0,1012.6,1086.2,1.67853285522962
2019-03-01,INDIGO,CALLSPREAD,22.95,1120.0,1127.2,1437.2,1.5815969020837175
2019-03-29,DIVISLAB,CALLSPREAD,29.599999999999998,1720.0,1716.7,1715.8,-1.0
2019-03-29,NESTLEIND,CALLSPREAD,205.65,11000.0,11044.75,10854.0,-1.0
2019-03-29,HCLTECH,CALLSPREAD,14.900000000000002,1100.0,1094.7,1133.55,1.209392822257929
2019-03-29,TCS,CALLSPREAD,35.849999999999994,2020.0,2014.6,2192.7,1.7617824543960676
2019-03-29,DRREDDY,CALLSPREAD,55.1,2800.0,2796.15,2921.85,1.189538373075055
2019-04-26,BPCL,CALLSPREAD,8.25,370.0,373.25,407.6,1.3413623413623412
2019-04-26,UNIONBANK,CALLSPREAD,0.9999999999999996,90.0,88.8,77.85,-1.0
2019-04-26,RECLTD,CALLSPREAD,2.8499999999999996,147.5,147.25,143.9,-1.0
2019-04-26,PNB,CALLSPREAD,0.9500000000000002,90.0,88.95,81.4,-1.0
2019-04-26,IOC,CALLSPREAD,2.75,155.0,154.3,162.4,1.5385934819897102
2019-05-31,PNB,CALLSPREAD,1.9499999999999997,80.0,80.85,78.05,-1.0
2019-05-31,DIVISLAB,CALLSPREAD,29.9,1600.0,1596.1,1600.15,-0.9950401780351614
2019-05-31,RELIANCE,CALLSPREAD,29.1,1320.0,1329.8,1274.8,-1.0
2019-05-31,DRREDDY,CALLSPREAD,34.85,2700.0,2681.7,2568.45,-1.0
2019-05-31,TECHM,CALLSPREAD,13.850000000000001,760.0,761.05,701.25,-1.0
2019-06-28,DLF,CALLSPREAD,2.0,190.0,187.75,177.0,-1.0
2019-06-28,BANKBARODA,CALLSPREAD,1.9000000000000004,122.5,122.4,109.2,-1.0
2019-06-28,ACC,CALLSPREAD,28.799999999999997,1560.0,1565.5,1579.6,-0.3281975705609177
2019-06-28,INDIGO,CALLSPREAD,12.5,1560.0,1568.85,1580.25,0.6030366492146596
2019-07-26,RECLTD,CALLSPREAD,2.45,142.5,141.3,138.8,-1.0
2019-07-26,BAJAJFINSV,CALLSPREAD,115.9,7300.0,7273.25,6976.75,-1.0
2019-07-26,BAJFINANCE,CALLSPREAD,59.05,3300.0,3275.05,3299.65,-1.0
2019-07-26,TITAN,CALLSPREAD,24.3,1100.0,1107.1,1101.95,-0.9208548747068942
2019-07-26,PFC,CALLSPREAD,1.85,112.5,112.8,101.3,-1.0
2019-09-27,RELIANCE,CALLSPREAD,22.1,1320.0,1316.0,1463.6,1.6791701228325493
2019-09-27,BHARTIARTL,CALLSPREAD,7.3500000000000005,350.0,352.3,374.65,1.6150720028271048
2019-09-27,POWERGRID,CALLSPREAD,4.999999999999999,197.5,198.7,198.25,-0.8584905660377358
2019-09-27,INFY,CALLSPREAD,14.85,780.0,780.3,685.6,-1.0
2019-11-01,ULTRACEMCO,CALLSPREAD,68.75,4200.0,4181.9,4295.25,0.37173717371737175
2019-11-01,ACC,CALLSPREAD,31.499999999999996,1540.0,1549.4,1514.75,-1.0
