entry,sym,structure,prem,K,spot0,spot_exp,ret
2019-02-01,ICICIBANK,OTM,8.15,365.0,355.85,349.25,-1.0
2019-02-01,FEDERALBNK,OTM,3.05,87.5,86.45,83.65,-1.0
2019-02-01,MUTHOOTFIN,OTM,16.75,500.0,492.3,527.5,0.5850144092219022
2019-02-01,BAJAJFINSV,OTM,152.9,6250.0,6136.35,6460.7,0.36438104242078767
2019-02-01,PFC,OTM,3.8,105.0,103.85,112.1,0.7626613704071488
2019-03-01,APOLLOHOSP,OTM,38.2,1180.0,1160.1,1181.3,-0.966494845360826
2019-03-01,DRREDDY,OTM,73.05,2700.0,2654.65,2716.35,-0.7783967308435168
2019-03-01,AUROPHARMA,OTM,18.45,740.0,727.65,769.25,0.535433070866142
2019-03-01,SIEMENS,OTM,23.85,1040.0,1012.6,1086.2,0.8895705521472409
2019-03-01,INDIGO,OTM,40.0,1140.0,1127.2,1437.2,6.320197044334977
2019-03-29,DIVISLAB,OTM,36.65,1750.0,1716.7,1715.8,-1.0
2019-03-29,NESTLEIND,OTM,256.35,11250.0,11044.75,10854.0,-1.0
2019-03-29,HCLTECH,OTM,22.9,1120.0,1094.7,1133.55,-0.4234042553191509
2019-03-29,TCS,OTM,54.3,2050.0,2014.6,2192.7,1.5992714025500876
2019-03-29,DRREDDY,OTM,58.9,2850.0,2796.15,2921.85,0.20756302521008235
2019-04-26,BPCL,OTM,12.4,380.0,373.25,407.6,1.1230769230769249
2019-04-26,UNIONBANK,OTM,4.1,90.0,88.8,77.85,-1.0
2019-04-26,RECLTD,OTM,5.05,150.0,147.25,143.9,-1.0
2019-04-26,PNB,OTM,4.2,90.0,88.95,81.4,-1.0
2019-04-26,IOC,OTM,4.75,157.5,154.3,162.4,-0.026812313803375263
2019-05-31,PNB,OTM,3.25,82.5,80.85,78.05,-1.0
2019-05-31,DIVISLAB,OTM,44.8,1620.0,1596.1,1600.15,-1.0
2019-05-31,RELIANCE,OTM,23.95,1360.0,1329.8,1274.8,-1.0
2019-05-31,DRREDDY,OTM,71.25,2700.0,2681.7,2568.45,-1.0
2019-05-31,TECHM,OTM,12.35,780.0,761.05,701.25,-1.0
2019-06-28,DLF,OTM,7.55,190.0,187.75,177.0,-1.0
2019-06-28,BANKBARODA,OTM,4.35,125.0,122.4,109.2,-1.0
2019-06-28,ACC,OTM,29.55,1600.0,1565.5,1579.6,-1.0
2019-06-28,INDIGO,OTM,38.55,1600.0,1568.85,1580.25,-1.0
2019-07-26,RECLTD,OTM,4.3,145.0,141.3,138.8,-1.0
2019-07-26,BAJAJFINSV,OTM,174.2,7400.0,7273.25,6976.75,-1.0
