entry,sym,prem0,exit_prem,ret
2024-12-27,SHRIRAMFIN,2.75,3.65,0.1876363636363636
2024-12-27,MPHASIS,100.75,124.3,0.211409429280397
2024-12-27,FEDERALBNK,5.65,12.2,0.9697345132743361
2024-12-27,MARICO,14.85,28.0,0.7689351426725165
2024-12-27,TECHM,42.15,0.0,-1.0142348754448398
2025-04-25,TATAELXSI,237.0,288.14,0.1936227848101265
2025-04-25,UNIONBANK,5.9,8.15,0.23847457627118643
2025-04-25,MUTHOOTFIN,97.0,109.15,0.10400515463917531
2025-04-25,CHOLAFIN,66.75,72.05,0.058606741573033666
2025-04-25,JSWSTEEL,37.29,55.1,0.437742966943659
2025-05-30,JSWSTEEL,28.55,25.9,-0.13290046343864736
2025-05-30,TATACONSUM,29.05,17.9,-0.41720163170508445
2025-05-30,EICHERMOT,156.1,159.4,0.0009288917360666953
2025-05-30,GODREJCP,31.7,52.8,0.6151618585118768
2025-05-30,KOTAKBANK,49.05,75.45,0.5071776599425789
2025-06-27,ADANIPORTS,37.1,0.85,-0.9936319846557348
2025-06-27,JINDALSTEL,30.5,45.6,0.44599838753023385
2025-06-27,BHEL,10.2,1.95,-0.8788927335640139
2025-06-27,BANKBARODA,8.4,12.25,0.3108333333333333
2025-06-27,TATAELXSI,204.4,0.0,-1.01
2025-08-01,KOTAKBANK,38.7,28.0,-0.30320693868557586
2025-08-01,UNIONBANK,4.6,5.7,0.1047826086956523
2025-08-01,AUBANK,25.75,26.95,-0.0010858704873221083
2025-08-01,SAIL,4.45,7.15,0.4503370786516854
2025-08-01,BHEL,8.5,13.55,0.4384705882352942
2025-08-29,DIVISLAB,135.25,2.4,-0.9924325323475045
2025-08-29,ADANIPORTS,32.4,45.05,0.34616483767718337
2025-08-29,AMBUJACEM,13.5,20.1,0.3782716049382717
2025-08-29,UNIONBANK,4.45,6.1,0.2285393258426965
2025-08-29,BPCL,8.1,11.3,0.2513580246913582
2025-10-01,MPHASIS,90.45,142.35,0.5480597014925371
2025-10-01,DMART,155.55,21.85,-0.8709353905496625
2025-10-01,BAJAJ-AUTO,210.7,284.15,0.32511390602752727
2025-10-01,CIPLA,29.9,61.1,0.9824051185109788
2025-10-01,TITAN,100.65,166.05,0.6232786885245901
2025-10-29,DRREDDY,34.0,0.0,-1.0176470588235293
2025-10-29,HINDUNILVR,50.2,0.0,-1.0119521912350598
2025-10-29,HDFCLIFE,16.05,27.15,0.5909686435496548
2025-10-29,BRITANNIA,141.0,199.05,0.3875851063829788
2025-10-29,DMART,99.7,24.85,-0.7632447342026079
2025-11-26,BAJAJFINSV,45.8,0.0,-1.0131004366812228
2025-11-26,VOLTAS,39.0,34.15,-0.1532149901380671
2025-11-26,HINDALCO,23.45,34.25,0.3975977559658303
2025-11-26,GRASIM,51.75,95.2,0.8066904711895261
2025-11-26,ETERNAL,8.65,1.6,-0.8861271676300578
2025-12-31,INDIANB,24.15,40.0,0.5903193035248127
2025-12-31,HEROMOTOCO,133.2,235.0,0.7366216216216217
2025-12-31,ADANIGREEN,33.7,46.8,0.34619482429184
2025-12-31,ASIANPAINT,56.15,96.6,0.6913226164809468
2025-12-31,AUROPHARMA,31.05,48.3,0.5061728395061728
2026-01-28,BHEL,11.2,14.1,0.1379145408163266
2026-01-28,POLYCAB,182.95,569.3,2.0706613828915006
2026-01-28,TATACONSUM,30.05,33.8,0.08236688159778062
2026-01-28,M&M,125.25,184.3,0.44674251497005996
2026-01-28,CHOLAFIN,65.2,78.7,0.1849846625766871
2026-02-25,MUTHOOTFIN,110.2,38.9,-0.6605353901996371
2026-02-25,HINDALCO,31.9,48.3,0.46681931191713916
2026-02-25,AUBANK,34.55,11.45,-0.6917175761967492
2026-02-25,MARUTI,309.4,65.85,-0.7992970265029089
2026-02-25,GRASIM,58.25,8.9,-0.8590845290942917
