entry,exit,sym,side,gross,net,reason,margin,rom
2018-08-31,2018-09-04,INDIANB,1,-0.0562938629236972,-0.0572938629236972,sl,0.22,-0.2604266496531691
2018-08-31,2018-09-10,ASIANPAINT,1,-0.061140910408814086,-0.06214091040881409,sl,0.22,-0.2824586836764277
2018-08-31,2018-09-19,HDFCBANK,1,-0.05138263820365341,-0.05238263820365341,sl,0.22,-0.2381029009256973
2018-08-31,2018-09-19,INDUSINDBK,1,-0.051473857662229006,-0.052473857662229006,sl,0.22,-0.23851753482831367
2018-08-31,2018-09-10,MARUTI,1,-0.05181900975628384,-0.05281900975628384,sl,0.22,-0.24008640798310837
2018-09-28,2018-10-01,BAJFINANCE,1,0.021203201177444786,0.020203201177444785,tp,0.22,0.09183273262474902
2018-09-28,2018-10-03,HAVELLS,1,0.029502975442125656,0.028502975442125655,tp,0.22,0.12955897928238935
2018-09-28,2018-10-05,BRITANNIA,1,-0.06697835319906831,-0.06797835319906831,sl,0.22,-0.30899251454121957
2018-09-28,2018-10-25,NESTLEIND,1,-0.021487120038573226,-0.022487120038573227,expiry,0.22,-0.10221418199351467
2018-09-28,2018-10-04,BAJAJFINSV,1,-0.06095192243840897,-0.06195192243840897,sl,0.22,-0.2815996474473135
2018-11-30,2018-12-04,DIVISLAB,1,0.041685498731008463,0.04068549873100846,tp,0.22,0.18493408514094756
2018-11-30,2018-12-06,ADANIENT,1,-0.0881376396015695,-0.08913763960156951,sl,0.22,-0.4051710890980432
2018-11-30,2018-12-04,WIPRO,1,0.03276419012459608,0.03176419012459608,tp,0.22,0.14438268238452764
2018-11-30,2018-12-10,LUPIN,1,-0.07791840885975809,-0.0789184088597581,sl,0.22,-0.3587200402716277
2018-11-30,2018-12-04,HCLTECH,1,0.02099068170671914,0.019990681706719138,tp,0.22,0.09086673503054153
2018-12-28,2019-01-08,AUROPHARMA,1,0.03031761308950931,0.02931761308950931,tp,0.22,0.13326187767958778
2018-12-28,2019-01-14,PIDILITIND,1,0.0266600505232768,0.0256600505232768,tp,0.22,0.11663659328762183
2018-12-28,2019-01-16,LUPIN,1,0.026515151515151603,0.025515151515151602,tp,0.22,0.11597796143250728
2018-12-28,2019-01-18,RELIANCE,1,0.04731429580262181,0.04631429580262181,tp,0.22,0.21051952637555368
2018-12-28,2019-01-10,DIVISLAB,1,0.03203978752918091,0.031039787529180907,tp,0.22,0.14108994331445868
2019-02-01,2019-02-13,FEDERALBNK,1,-0.05552342394447651,-0.056523423944476514,sl,0.22,-0.25692465429307504
2019-02-01,2019-02-07,BAJAJFINSV,1,0.022839310013281544,0.021839310013281543,tp,0.22,0.09926959096946156
2019-02-01,2019-02-13,SBIN,1,-0.05455183301175237,-0.05555183301175237,sl,0.22,-0.2525083318716017
2019-02-01,2019-02-28,ICICIBANK,1,-0.018547140649149974,-0.019547140649149974,expiry,0.22,-0.08885063931431807
2019-02-01,2019-02-19,PFC,1,0.035146846413095956,0.034146846413095955,tp,0.22,0.15521293824134524
2019-03-01,2019-03-05,APOLLOHOSP,1,0.030859408671666477,0.029859408671666476,tp,0.22,0.13572458487121125
2019-03-01,2019-03-13,NESTLEIND,1,0.02032336950070035,0.01932336950070035,tp,0.22,0.08783349773045614
2019-03-01,2019-03-11,AUROPHARMA,1,0.03463203463203479,0.03363203463203479,tp,0.22,0.15287288469106722
2019-03-01,2019-03-05,INDIGO,1,0.053672817601135625,0.052672817601135624,tp,0.22,0.23942189818698012
2019-03-01,2019-03-19,DRREDDY,1,0.022658354208652698,0.021658354208652697,tp,0.22,0.09844706458478499
