entry,exit,sym,cycle,net,reason
2018-08-31,2018-09-04,INDIANB,2018-09-27,-0.0572938629236972,sl
2018-08-31,2018-09-10,ASIANPAINT,2018-09-27,-0.06214091040881409,sl
2018-08-31,2018-09-10,MARUTI,2018-09-27,-0.05281900975628384,sl
2018-09-11,2018-09-14,SBIN,2018-09-27,0.025765275576686064,tp
2018-09-11,2018-09-14,BAJAJFINSV,2018-09-27,0.05256346131266876,tp
2018-09-05,2018-09-18,HINDUNILVR,2018-09-27,0.02615448156824074,tp
2018-08-31,2018-09-19,HDFCBANK,2018-09-27,-0.05238263820365341,sl
2018-08-31,2018-09-19,INDUSINDBK,2018-09-27,-0.052473857662229006,sl
2018-09-17,2018-09-21,BAJFINANCE,2018-09-27,-0.08825063718069104,sl
2018-09-17,2018-09-24,BAJAJFINSV,2018-09-27,-0.07193221050062182,sl
2018-09-19,2018-09-24,BRITANNIA,2018-09-27,-0.06322490000167369,sl
2018-09-28,2018-10-01,BAJFINANCE,2018-10-25,0.020203201177444785,tp
2018-09-28,2018-10-03,HAVELLS,2018-10-25,0.028502975442125655,tp
2018-09-28,2018-10-04,BAJAJFINSV,2018-10-25,-0.06195192243840897,sl
2018-09-28,2018-10-05,BRITANNIA,2018-10-25,-0.06797835319906831,sl
2018-10-03,2018-10-05,BAJFINANCE,2018-10-25,-0.08829785949137747,sl
2018-09-28,2018-10-25,NESTLEIND,2018-10-25,-0.022487120038573227,expiry
2018-11-30,2018-12-04,DIVISLAB,2018-12-27,0.04068549873100846,tp
2018-11-30,2018-12-04,WIPRO,2018-12-27,0.03176419012459608,tp
2018-11-30,2018-12-04,HCLTECH,2018-12-27,0.019990681706719138,tp
2018-11-30,2018-12-06,ADANIENT,2018-12-27,-0.08913763960156951,sl
2018-11-30,2018-12-10,LUPIN,2018-12-27,-0.0789184088597581,sl
2018-12-05,2018-12-10,PFC,2018-12-27,-0.07825788900979336,sl
2018-12-05,2018-12-12,DIVISLAB,2018-12-27,0.03249976384859321,tp
2018-12-05,2018-12-13,SBIN,2018-12-27,0.026708703374778042,tp
2018-12-13,2018-12-14,PFC,2018-12-27,0.05108333333333326,tp
2018-12-14,2018-12-17,AUROPHARMA,2018-12-27,0.026084476138233614,tp
2018-12-17,2018-12-18,PFC,2018-12-27,0.04519565217391308,tp
2018-12-19,2018-12-20,PFC,2018-12-27,0.019682523267838703,tp
2018-12-18,2018-12-27,AUROPHARMA,2018-12-27,-0.03577966101694907,expiry
2018-12-28,2019-01-08,AUROPHARMA,2019-01-31,0.02931761308950931,tp
2018-12-28,2019-01-10,DIVISLAB,2019-01-31,0.031039787529180907,tp
2018-12-28,2019-01-14,PIDILITIND,2019-01-31,0.0256600505232768,tp
2018-12-28,2019-01-16,LUPIN,2019-01-31,0.025515151515151602,tp
2018-12-28,2019-01-18,RELIANCE,2019-01-31,0.04631429580262181,tp
2019-01-17,2019-01-22,DABUR,2019-01-31,0.026353463587921788,tp
2019-01-09,2019-01-24,DRREDDY,2019-01-31,0.01923927834263439,tp
2019-01-23,2019-01-24,INDIGO,2019-01-31,0.05822295170428993,tp
2019-01-21,2019-01-28,FEDERALBNK,2019-01-31,-0.0510844119302194,sl
2019-01-15,2019-01-29,LT,2019-01-31,-0.05158740688581698,sl
2019-01-11,2019-01-31,HINDUNILVR,2019-01-31,-0.008223565124515275,expiry
2019-02-01,2019-02-07,BAJAJFINSV,2019-02-28,0.021839310013281543,tp
2019-02-01,2019-02-13,FEDERALBNK,2019-02-28,-0.056523423944476514,sl
2019-02-01,2019-02-13,SBIN,2019-02-28,-0.05555183301175237,sl
2019-02-08,2019-02-15,MARICO,2019-02-28,-0.06474501992031867,sl
2019-02-01,2019-02-19,PFC,2019-02-28,0.034146846413095955,tp
2019-02-01,2019-02-28,ICICIBANK,2019-02-28,-0.019547140649149974,expiry
2019-03-01,2019-03-05,APOLLOHOSP,2019-03-28,0.029859408671666476,tp
2019-03-01,2019-03-05,INDIGO,2019-03-28,0.052672817601135624,tp
2019-03-01,2019-03-11,AUROPHARMA,2019-03-28,0.03363203463203479,tp
2019-03-01,2019-03-13,NESTLEIND,2019-03-28,0.01932336950070035,tp
2019-03-06,2019-03-13,APOLLOHOSP,2019-03-28,-0.06591666666666673,sl
2019-03-06,2019-03-13,HINDUNILVR,2019-03-28,0.023191427820142052,tp
2019-03-14,2019-03-15,TCS,2019-03-28,0.024576855698483446,tp
2019-03-14,2019-03-15,KOTAKBANK,2019-03-28,0.04198757788314589,tp
2019-03-01,2019-03-19,DRREDDY,2019-03-28,0.021658354208652697,tp
2019-03-12,2019-03-19,HCLTECH,2019-03-28,0.02022954444935865,tp
2019-03-20,2019-03-27,NESTLEIND,2019-03-28,0.029598736714701812,tp
2019-03-14,2019-03-28,HINDUNILVR,2019-03-28,-0.03663959318149268,expiry
2019-03-18,2019-03-28,DABUR,2019-03-28,-0.0449126394052044,expiry
2019-03-18,2019-03-28,TECHM,2019-03-28,-0.028311719439889083,expiry
2019-03-20,2019-03-28,HCLTECH,2019-03-28,0.03675123518971557,tp
2019-03-29,2019-04-02,TECHM,2019-04-25,0.01933485149785097,tp
2019-03-29,2019-04-02,TCS,2019-04-25,0.03563258215030285,tp
2019-04-03,2019-04-05,DIVISLAB,2019-04-25,0.024444085288099493,tp
2019-03-29,2019-04-10,BAJAJ-AUTO,2019-04-25,0.020489697790275874,tp
2019-04-08,2019-04-11,BPCL,2019-04-25,0.029607907042652593,tp
2019-04-03,2019-04-16,TECHM,2019-04-25,0.020233182426831475,tp
2019-04-12,2019-04-22,BPCL,2019-04-25,-0.06126754930354439,sl
2019-03-29,2019-04-24,HINDUNILVR,2019-04-25,0.022823409342742074,tp
2019-03-29,2019-04-25,NESTLEIND,2019-04-25,-0.01827064895085906,expiry
2019-04-11,2019-04-25,NMDC,2019-04-25,-0.039737446197991355,expiry
2019-04-26,2019-04-30,IOC,2019-05-30,0.029136098509397024,tp
2019-04-26,2019-05-07,PNB,2019-05-30,-0.05159021922428331,sl
2019-04-26,2019-05-08,JUBLFOOD,2019-05-30,-0.05966439371479404,sl
2019-04-26,2019-05-09,TORNTPHARM,2019-05-30,-0.05610988079769508,sl
2019-05-08,2019-05-10,PNB,2019-05-30,0.023822695035461083,tp
2019-05-02,2019-05-13,UNIONBANK,2019-05-30,-0.10347349823321561,sl
2019-04-26,2019-05-14,POWERGRID,2019-05-30,-0.05193555093555102,sl
2019-05-13,2019-05-14,PNB,2019-05-30,0.037077403245942775,tp
2019-05-15,2019-05-16,SIEMENS,2019-05-30,0.05045008365867265,tp
2019-05-14,2019-05-17,PFC,2019-05-30,0.01951282051282044,tp
2019-05-09,2019-05-20,PIDILITIND,2019-05-30,0.048922733516483574,tp
2019-05-10,2019-05-20,RECLTD,2019-05-30,0.06610430342815465,tp
2019-05-15,2019-05-20,PNB,2019-05-30,0.07676427703523692,tp
2019-05-17,2019-05-20,CHOLAFIN,2019-05-30,0.06473853484216796,tp
2019-05-20,2019-05-21,BANKBARODA,2019-05-30,0.021357723577235865,tp
2019-05-21,2019-05-24,PNB,2019-05-30,0.028069767441860516,tp
2019-05-21,2019-05-24,PIDILITIND,2019-05-30,0.02448775425487748,tp
2019-05-21,2019-05-24,RECLTD,2019-05-30,0.030294452347083944,tp
2019-05-21,2019-05-30,VOLTAS,2019-05-30,-0.02350941458404676,expiry
